Temperature_C,Calculated_Y_Value
0,72.84067999999999
1,74.8208172912
2,76.7950715648
3,78.7634428208
4,80.7259310592
5,82.68253628
6,84.6332584832
7,86.5780976688
8,88.51705383679997
9,90.4501269872
10,92.37731711999999
11,94.2986242352
12,96.21404833279999
13,98.12358941279999
14,100.0272474752
15,101.92502252
16,103.81691454719999
17,105.7029235568
18,107.58304954879999
19,109.4572925232
20,111.32565247999999
21,113.1881294192
22,115.04472334079998
23,116.89543424479999
24,118.74026213119998
25,120.57920699999998
26,122.41226885119998
27,124.2394476848
28,126.06074350079999
29,127.87615629919996
30,129.68568607999998
31,131.4893328432
32,133.28709658879998
33,135.07897731679998
34,136.8649750272
35,138.64508972000002
36,140.4193213952
37,142.18767005279997
38,143.9501356928
39,145.7067183152
40,147.45741791999998
41,149.2022345072
42,150.94116807679998
43,152.6742186288
44,154.4013861632
45,156.12267067999997
46,157.83807217919997
47,159.54759066079998
48,161.25122612479998
49,162.94897857119997
50,164.64084799999998
51,166.3268344112
52,168.00693780479997
53,169.6811581808
54,171.34949553919995
55,173.01194988
56,174.6685212032
57,176.3192095088
58,177.96401479679997
59,179.60293706719997
60,181.23597632
61,182.86313255519997
62,184.48440577279996
63,186.09979597280002
64,187.7093031552
65,189.31292731999997
66,190.91066846719997
67,192.50252659679995
68,194.08850170879998
69,195.66859380319997
70,197.24280288
71,198.8111289392
72,200.37357198080002
73,201.93013200479996
74,203.48080901119997
75,205.02560299999996
76,206.56451397119997
77,208.09754192479997
78,209.62468686079998
79,211.14594877919998
80,212.66132768
81,214.17082356319997
82,215.67443642879996
83,217.17216627679997
84,218.6640131072
85,220.14997691999997
86,221.6300577152
87,223.10425549279995
88,224.57257025279998
89,226.03500199519996
90,227.49155072
91,228.94221642719995
92,230.38699911679996
93,231.82589878879998
94,233.25891544319995
95,234.68604907999998
96,236.10729969919996
97,237.52266730079992
98,238.9321518848
99,240.33575345119996
